,Scenario,F_0x,F_0y,F_0z,F_1x,F_front_upper - rod end,F_rear_upper - rod end,F_front_lower - rod end,F_rear_lower - rod end,F_damper,F_steering,UBJ - spherical,LBJ - spherical
0,Self weight,0,0,750,0,120.45,62.04,-321.01,-549.71,1012.97,-56.93,117.27,475.77
1,Brake,-750,0,750,0,-237.63,496,929.31,-1762.61,1005.51,-257.9,612.48,2372.92
2,Bump,0,0,750,-200,25.78,177.1,11.82,-872.07,1010.96,-110.99,170.93,878.11
3,Brake Bump,-1500,0,750,-200,-690.4,1045.02,2512.45,-3297.87,996.03,-512.93,1418.96,5058.37
4,Corner Outside ,0,1500,750,0,777.19,706.03,-1706.86,-1571.78,1092.72,-550.39,874.23,1632.31
5,Corner Outside Brake,-1060,1060,750,0,78.45,1130.45,466.77,-2986.21,1058.78,-689.67,1108.79,3247.8
6,Corner Outside Bump,0,1500,750,-200,682.52,821.09,-1374.04,-1894.13,1090.72,-604.45,891.4,1684.52
7,Corner Outside Brake Bump,-1060,1060,750,-200,-16.22,1245.52,799.6,-3308.56,1056.77,-743.73,1250.61,3777.24
8,Corner Inside ,0,-1500,750,0,-536.29,-581.95,1064.84,472.36,933.22,436.52,658.71,920.41
9,Corner Inside Brake,-1060,-1060,750,0,-849.74,220.28,2425.44,-1541.68,946.06,7.74,941.26,3471.28
10,Corner Inner Bump,0,-1500,750,-200,-630.96,-466.89,1397.67,150,931.21,382.46,659.18,1327.96
11,Corner Inner Brake Bump,-1060,-1060,750,-200,-944.42,335.35,2758.27,-1864.04,944.05,-46.32,1095.26,4036.63
12,Max compression,-1500,-1500,750,-200,-944.42,-581.95,-1706.86,-3308.56,931.21,-743.73,117.27,475.77
13,Max tension,0,1500,750,0,777.19,1245.52,2758.27,472.36,1092.72,436.52,1418.96,5058.37
,,,,,,^ Forces go here ^,,,,,,,
,E / Pa,2.10E+11,,,,,,,,,,,
,Yield Stress / Pa,2.40E+06,,,,Upper,,Lower,,Damper,Track rod,,
,,,,,Length/mm,275,278,391,436,584,329,,Key
,,,,,Inner diameter/mm,5,0,5,5,5,5,,Input
,,,,Buckle,Required outer diameter/mm,6.04,4.59,7.52,9.08,Tension only,6.13,,Intermediate
,,,,,Required I,3.45E-11,2.17E-11,1.26E-10,3.03E-10,-1.53E-10,3.88E-11,,Outputs
,,,,Tension,Required outer diameter/mm,11.32,12.85,19.77,9.36,13.04,9.1,,
,,,,,Required area,3.24E-04,5.19E-04,1.15E-03,1.97E-04,4.55E-04,1.82E-04,,
,,,,,Critical Outer Diameter/mm,11.32,12.85,19.77,9.36,13.04,9.1,,
,,,,,,,,,,,,,
,,,,,,Rod ends and spherical bearings,,,,,,,
,,,,,,944.42,1245.52,2758.27,3308.56,,,1418.96,5058.37
