,Scenario,F_0x,F_0y,F_0z,F_1x,F_front_upper - rod end,F_rear_upper - rod end,F_front_lower - rod end,F_rear_lower - rod end,F_damper,F_steering,UBJ - spherical,LBJ - spherical
0,Self weight,0,0,750,0,120.4533884,62.03627078,-321.0094392,-549.7073729,1012.973043,-56.93180095,117.2666352,475.7694849
1,Brake,-750,0,750,0,-237.6343414,495.9959451,929.3069667,-1762.610619,1005.506454,-257.8978528,612.4824392,2372.922395
2,Bump,0,0,750,-200,25.77842744,177.1036525,11.81695214,-872.0660488,1010.964475,-110.9931486,170.9271029,878.1142216
3,Brake Bump,-1500,0,750,-200,-690.397032,1045.023001,2512.449764,-3297.872541,996.0312985,-512.9252523,1418.958636,5058.373806
4,Corner Outside ,0,1500,750,0,777.1949002,706.0251288,-1706.861797,-1571.775468,1092.723841,-550.3860729,874.2262937,1632.314703
5,Corner Outside Brake,-1060,1060,750,0,78.45339869,1130.451404,466.7687485,-2986.205414,1058.777495,-689.6715064,1108.78671,3247.796058
6,Corner Outside Bump,0,1500,750,-200,682.5199392,821.0925105,-1374.035405,-1894.134143,1090.715274,-604.4474206,891.3961386,1684.518814
7,Corner Outside Brake Bump,-1060,1060,750,-200,-16.22156225,1245.518785,799.5951399,-3308.56409,1056.768928,-743.7328541,1250.613505,3777.241356
8,Corner Inside ,0,-1500,750,0,-536.2881234,-581.9525872,1064.842918,472.3607217,933.2222441,436.522471,658.7094328,920.4145865
9,Corner Inside Brake,-1060,-1060,750,0,-849.7412713,220.2804842,2425.44008,-1541.682507,946.0630333,7.743864666,941.2559661,3471.284552
10,Corner Inner Bump,0,-1500,750,-200,-630.9630844,-466.8852055,1397.66931,150.0020458,931.2136768,382.4611234,659.1751476,1327.95581
11,Corner Inner Brake Bump,-1060,-1060,750,-200,-944.4162323,335.3478659,2758.266472,-1864.041183,944.0544661,-46.31748299,1095.262416,4036.626029
12,Max compression,-1500,-1500,750,-200,-944.4162323,-581.9525872,-1706.861797,-3308.56409,931.2136768,-743.7328541,117.2666352,475.7694849
13,Max tension,0,1500,750,0,777.1949002,1245.518785,2758.266472,472.3607217,1092.723841,436.522471,1418.958636,5058.373806
,,,,,,^ Forces go here ^,,,,,,,
,E / Pa,2.10E+11,,,,,,,,,,,
,Yield Stress / Pa,2.40E+06,,,,Upper,,Lower,,Damper,Track rod,,
,,,,,Length/mm,275,278,391,436,584,329,,Key
,,,,,Inner diameter/mm,5,0,5,5,5,5,,Input
,,,,Buckle,Required outer diameter/mm,6.04,4.59,7.52,9.08,Tension only,6.13,,Intermediate
,,,,,Required I,3.45E-11,2.17E-11,1.26E-10,3.03E-10,-1.53E-10,3.88E-11,,Outputs
,,,,Tension,Required outer diameter/mm,11.32,12.85,19.77,9.36,13.04,9.10,,
,,,,,Required area,3.24E-04,5.19E-04,1.15E-03,1.97E-04,4.55E-04,1.82E-04,,
,,,,,Critical Outer Diameter/mm,11.32,12.85,19.77,9.36,13.04,9.10,,
,,,,,,,,,,,,,
,,,,,,Rod ends and spherical bearings,,,,,,,
,,,,,,944.42,1245.52,2758.27,3308.56,,,1418.96,5058.37
